Name,Score,Description
Futurity,77,Soho Rep and Ars Nova present an avant-Americana musical about two people who try to imagine their way out of impossible circumstances.
"Don't Bother Me, I Can't Cope",77,"'Don’t Bother Me, I Can’t Cope' illuminates the African-American experience through gospel, jazz, funk, soul, calypso, and soft rock. "
City Stories,77,"Part of the Brits Off Broadway fest, this musical exploration of love, magic, and the city of London features six stories performed in rotating rep."
Yaki Yim Bamboo: The Musical,77,"13th Street Repertory Theatre presents 'Yaki Yim Bamboo,' a fantastical children's musical about growing up that's infused with Caribbean culture."
The Gold,77,"Part of the New York Musical Festival: This new tuner tells the story of Joseph Cohen, a Jewish-German boxer who finds his 1936 Olympic ambitions crushed as the Nazis rise to power. "
Camp Rolling Hills,77,"Part of the New York Musical Festival: Relive the days of lanyards, bunk beds, and bug juice in this new tuner about summer camp. Based on Stacy Davidowitz's YA book series."
Murder at the Food Coop,77,"Part of FringeNYC: A murder farce for our locavore age! When the founder of a food coop in liberal Brooklyn is found dead inside the solar-powered Gore 3000 freezer, the ensuing free-range investigation is part Agatha…"
Rudolph the Red-Nosed Reindeer...,77,The Rankin/Bass TV classic soars off the screen and onto the stage this holiday season at the Theater at Madison Square Garden. A festive musical for all ages.
Inner Voices 2016,77,"Premieres presents its biannual series of new solo musicals. This batch touches on fear, friendship, and fantasy."
The Boy Who Danced On Air,77,"Abingdon Theatre Company presents this new musical, a modern-day love story set in rural Afghanistan."
Friends! The Musical Parody,77,"From the creators of '90210! The Musical!,' 'Katdashian: The Musical!,' and 'Full House! The Musical!,' comes this new unauthorized musical parody of the beloved sitcom about the antics of six young New Yorkers."
Blank! The Musical,77,"In this fully-improvised musical experience, the ensemble takes to the stage each night—with no script, no rehearsal, and no idea what will happen—to perform a brand-new smash hit musical…that you help to create!"
 The Exposed Bone Workshop...,77,"Originally developed as a long-running episodic for #serials@theflea, this raucous and biting new musical meta-comedy about plays and privilege is structured as a (fictional) reading series."
Single Rider,77,This fast-paced new musical employs a contemporary Pop/Rock/Folk score to tell the story of three Amish girls who come an amusement park on the first day of their Rumspringa.
Neurosis,77,"A comedy with a psychiatric twist, this new musical is a story about finding happiness, falling in love, and dealing with that little voice in your head along the way."
Merrily We Roll Along,77,"Roundabout’s company in residence, Fiasco Theater, brings their imaginative, stripped-down aesthetic to Stephen Sondheim's musical about about a trio of showbiz friends who fall apart and come together over 20 years."
Gone Missing,77,"Encores! Off-Center presents this wry and whimsical docu-musical from the Civilians, featuring an energetic score by Michael Friedman. A very personal account of how we deal with loss in our lives."
"Lolita, My Love",77,"The York Theatre presents Alan Jay Lerner's 1971 musical adaptation of Vladimir Nabokov's groundbreaking and controversial 1955 novel, ""Lolita."""
A Christmas Carol in Harlem,77,"This timeless, seasonal story from Charles Dickens has been modernized, set in Harlem and infused with The Classical Theatre of Harlem's signature style of re-inventing classic works with an urban flair."
Call Me Madam,77,"A highlight of the second season of Encores! (1995) and featuring a memorable score by Irving Berlin, ""Call Me Madam"" centers around a brassy ambassador to the fictional European nation of Lichtenberg."
The Fantasticks,77,"Whimsical, poignant, and romantic, this classic musical tells an allegorical story that focuses on two young lovers."
The Last Ship,76,"A new musical set in an English seafaring town, featuring songs by Sting and inspired by his own life as a boy."
Naked Boys Singing!,76,"This musical revue celebrating male nudity in comedy, song, and dance, features sixteen original songs sung by eight naked men and no clothes. "
Nevermore,76,"Catalyst Theatre and New Victory present this theatrical musical combining music, poetic storytelling, and stagecraft to tell the fascinating and moving life story of iconic American writer Edgar Allan Poe."
NEWSical: The Musical,76,"This long-running musical revue/sketch comedy show lampoons current events, newsmakers, celebrities, and politicians. Think 'The Daily Show' set to music."
It Shoulda Been You,76,"Tony winner Tyne Daly stars in a new musical comedy where the clash of two families turns the perfect wedding into chaos, directed by Emmy and Tony Award winner David Hyde Pierce."
Dames at Sea,76,"Coming to Broadway for the first time ever and directed by three-time Tony Award-nominee Randy Skinner, this is a classic comedic celebration of the golden era of movie musicals."
A Midsummer Night's Dream,76,"New Victory presents South Africa's Isango Ensemble, whose production interweaves Britten's ethereal opera of Shakespeare's most famous comedy with the rich choral traditions of African folklore."
POPE! An Epic Musical,76,"Part of the New York Musical Theatre Festival, this new musical comedy is a comic-book style 'epic' that chronicles the battle between a young Pope and the Archbishop who will stop at nothing to replace him."
American Psycho,76,"The musical 'American Psycho' is based on the Bret Easton Ellis novel about a Wall Street banker set in the excess of 1980s Manhattan, and features music by Duncan Sheik.
"
ELF The Musical,76,This holiday musical inspired by the beloved 2003 film returns to the Theater at Madison Square Garden for a seasonal run.
Runaways,76,Encores! revives the late Elizabeth Swados' musical about the lives and challenges of runaway children.
The Last Word,76,"Part of the New York Musical Festival: A group of Scrabble hustlers try to raise the funds to save a friend's restaurant in this new musical dramedy.
"
Made in China,76,"Wakka Wakka presents a darkly comic puppet musical that explores issues of human rights, consumerism, and global relations via a quirky romance between a middle-aged American woman and her Chinese ex-pat neighbor."
Hoi Polloi,76,Musicals Tonight debuts Noel Coward's lost musical about a sailor on leave and a London lass who are helped along by a very posh couple they keep running into.
90210! THE MUSICAL!,76,"The creators of 'Bayside! The Musical!' present an unauthorized musical parody of '90s teen soap 'Beverly Hills, 90210.'"
War Paint,76,Two-time Tony Award winners Patti LuPone and Christine Ebersole come to Broadway in this new musical about rival cosmetic titans Helena Rubinstein and Elizabeth Arden.
Prince of Broadway,76,"Manhattan Theatre Club presents a musical celebration of director and producer Harold Prince. Featuring Tony winners Chuck Cooper and Karen Ziemba, and nominees Brandon Uranowitz and Tony Yazbeck. "
Ernest Shackleton Loves Me,76,GrooveLily's electro-violinist Valerie Vigoda stars in this high-tech musical adventure about two extraordinary people connecting across time and space. Featuring a book by Tony winner Joe DiPietro ('Memphis').
The Imbible: Day Drinking,76,"A new cocktail, brunch, and history-infused show from the folks behind the long-running 'The Imbible: A Spirited History of Drinking.'"
Matthew McConaughey vs. The De...,76,"Part of the New York Musical Festival: A Faustian comedy that dares to ask the question, ""How did Matthew McConaughey win an Academy Award?"" Featuring Broadway regulars including Lesli Margherita and Max Crumm."
Jerry's Girls,76,"The York Theatre Company presents this all-female tribute to Jerry Herman, featuring the songwriter's iconic showstoppers for Broadway actresses."
Cross That River,76,"59E59 presents this new musical that tells the story of Blue, a runaway slave who becomes
a Black cowboy."
Pop Punk High,76,"This musical tells the story of a high school where everyone is pop punk, it's always 2003, and there's never been anything cooler than shredding, pizza, and flipping off your lame-ass parents."
This One's For The Girls,76,"This new musical is a high-energy celebration of American women, and an exploration of their changing role from 1900 to today as illustrated through pop music."
The Wild Party,76,"Illumination Act presents this immersive staging of Andrew Lippa’s racy and decadent 1920s-set musical drama, where the audience is interspersed amongst the action."
Miss You Like Hell,76,"The Public's new musical from Tony award-winning playwright Quiara Alegría Hudes ('In the Heights') and genre-breaking songwriter Erin McKeown, centers around an undocumented immigrant and her daughter."
On a Clear Day You Can See For...,76,"The Irish Repertory Theatre presents a new adaptation of Burton Lane
 and Alan Jay Lerner's classic musical, a comic drama about love and past lives."
1969: The Second Man,76,"A new folk-rock fable for the runner-up in all of us, '1969: The Second Man' explores competition and collective achievement through the story of Buzz Aldrin, one small man who became one giant myth."
Renascence,76,"Transport Group presents this world premiere musical about the radical, reckless, Pulitzer Prize-winning poet, Edna St. Vincent Millay, who lived one hundred years ago, a hundred years ahead of her time."
Pamela's First Musical,76,Two River presents this world premiere family-friendly musical about a young girl who heads to NYC to see her first Broadway musical. Featuring a book by Tony Award winners Wendy Wasserstein and Christopher Durang.
Medicine the Musical,76,This new musical centers around a group of medical students in their first year.
The Day Before Spring,76,"The York revisits one of Lerner and Loewe’s lesser known musicals, in which a married woman attends a college reunion where she meets the man with whom she almost eloped ten years before."
Fabulous! The QUEEN of New Mus...,75,Vintage musical comedy meets modern farce when two female impersonators start working as showgirls on a cruise ship.
Snow White,75,"Company XIV presents a Baroque-Burlesque creation based on the classic fairy tale 'Snow White,' using theatre, dance, live music, circus, opera and erotic design. For ages 21 and over."
Real Men: The Musical,75,"New World Stages presents 'Real Men,' a musical comedy about what it means to be a man today's day and age."
(2015) A Child's Christmas in ...,75,"Irish Repertory Theatre presents the classic retelling of a Christmas from the view of a young child, portraying a nostalgic and simpler time. "
The Astonishing Times of Timot...,75,"Workshop Theater revives its musical about the post-'A Christmas Carol' adventures of Tiny Tim, who ventures off in search of who he will become."
Tuck Everlasting,75,A new musical based on Natalie Babbitt's best-selling novel about a young girl's encounter with an immortal family. Directed by Tony Award winner Casey Nicholaw.
"Starting Here, Starting Now",75,"The York revives Richard Maltby, Jr. and David Shire's musical revue that examines the maze of modern relationships."
"You're a Good Man, Charlie Brown",75,"The York Theatre Company revives the musical inspired by Charles M. Schulz's beloved Peanuts gang, starring a cast of talented kids who've all appeared on Broadway."
Katdashians! Break the Musical!,75,Medium Face presents a very unauthorized musical mash-up/parody of the Kardashians and 'Cats.'
Bella: An American Tall Tale,75,Playwrights Horizons presents the New York premiere of this musical adventure about a wanted woman of mythic proportions who looks to begin life anew in the Wild West.
Fiorello!,75,Berkshire Theatre Group presents a rare revival of the Tony-winning musical about Mayor La Guardia and his battle for the people of NYC. Created by the songwriting team behind 'Fiddler on the Roof' and 'She Loves Me.'
The Imbible: Christmas Carol C...,75,"The creators of 'The Imbible: A Spirited History of Drinking' present a comic, cocktail-filled holiday musical about Ebenezer Scrooge's post-'A Christmas Carol' adventures."
The Outer Space,75,Joe’s Pub at The Public presents a bittersweet and off-kilter new musical about a couple who join a colony in outer space. Directed by Tony nominee Leigh Silverman.
The Little Mermaid,75,Literally Alive revives its musical adaptation of Hans Christian Andersen's fairy tale about a young mermaid who falls for a prince and ventures onto land.
Marry Harry,75,The York Theatre Company presents the New York premiere of this musical rom-com about two adults on the verge of 30 who need help loosening their parental ties.
Me The People: The Trump Ameri...,75,"This up-to-the minute musical satire of Trump's presidency and today's red, white, and orange America returns with its 'Fire and Fury Edition' edition."
The Fourth Messenger,75,"Part of the New York Musical Festival: This new show wonder, what if the Buddha were a woman living in our times? Featuring Nancy Anderson."
Play Like A Winner,75,Part of the New York Musical Festival: A satire of the soccer mom world based on the award-winning play 'All About the Kids' by Caytha Jentis.
Summer: The Donna Summer Music...,75,"This world-premiere musical charts the life of Donna Summer, the undisputed Queen of Disco, from her modest Boston childhood to international stardom. Directed by Tony winner Des McAnuff.
"
Pretty Woman: The Musical,75,"One of the most beloved romantic comedies of all time comes to Broadway in this world premiere musical, with an original score co-written by Grammy winner Bryan Adams ('Summer of ’69,' 'Everything I Do')."
Pretty Woman: The Musical,75,"One of the most beloved romantic comedies of all time comes to Broadway in this world premiere musical, with an original score co-written by Grammy winner Bryan Adams ('Summer of ’69,' 'Everything I Do')."
God Save Queen Pam,75,In this new Off-Broadway musical comedy an everyday American bartender is thrust into the British Royal family.
Wild Abandon,75,"In this solo piece, actress and singer/songwriter Leenya Rideout explores a complicated mother-daughter relationship in a world where women are just beginning to have their voices heard through art.
"
The Evolution of Mann,75,"This new musical comedy explores love in all its forms and how to build a lasting relationship in the 21st century.
"
Cleopatra,75,"Set to an original pop and EDM score spun by a live DJ, this immersive musical traces history’s most seductive and powerful ruler, mixing historical drama with an enveloping spectacle."
Shadows: A Dance Musical,75,"This new dance musical explores an eerie and erotic story, and asks ""how far will you go to keep the one you love?"" Directed and choreographed by Tony nominee Joey McKneely."
Christmas in Hell,75,"A wild, irreverent, and surprisingly touching musical comedy about the absurd lengths we’ll go to for the ones we love."
Bayside! The Musical!,74,"National Lampoon's unauthorized raunchy musical parody of the 80s teen sitcom, 'Saved by the Bell.' "
Pinkalicious,74,"A musical for children aged 2 - 10 based on the best selling books about a girl who loves pink cupcakes so much, that she ends up turning pink from head to toe!"
Preludes,74,"Lincoln Center Theater presents 'Preludes,' a musical fantasia set in the hypnotized mind of Russian composer Sergei Rachmaninoff."
For the Last Time,74,"Backed by an 8-piece jazz ensemble and featuring an African-American cast of rising stars, this Jazz Age musical follows four young New Orleans artists who become friends and lovers."
Judith: A Parting from the Bod...,74,"The Potomac Theatre Project presents 'Judith,' a biblical tale of female heroism and sexuality, and 'Vinegar Tom,' a look at gender politics during a 17th century English witch hunt."
Pride &amp; Prejudice,74,A new musical adaptation of literature's most famous society romance: the meeting of the independent-minded Elizabeth and the handsome but enigmatic Mr. Darcy.
Disaster! A Musical,74,"Set in the wild 1970s, 'Disaster!' is a comedic new musical that delivers earthquakes, tidal waves, dancing, gambling and infernos. 
"
Plaid Tidings,74,"The York Theatre Company presents this musical revue by the creators of 'Forever Plaid', featuring 1950s boy band The Heavenly Plaids as they sing seasonal holiday music."
The Total Bent,74,"The Public Theater presents a new musical by Stew and Heidi Rodewald (creators of 'Passing Strange') set at the intersection of the sacred and profane, survival and liberation, gospel and rock ‘n’ roll."
Untapped!,74,New Victory Theater presents a rhythmic extravaganza of sight and sound as these Expert Hoofers extend tap into wild territories how Fred Astaire might have performed if he had joined a hip hop crew. 
A Ride on the Irish Cream,74,Abrons Arts Center presents the world premiere of a darkly psychedelic story with songs set in a fantastical Michigan backyard on a cold blue river.
"ZUCCOTTI PARK, A musical about...",74,"Part of FringeNYC: What does it mean to be an American? After eight years of war, Sergeant Cooper visits childhood sweetheart, Kate, in NYC. They meet at Zuccotti Park, home of Occupy, where she and her friends protest…"
The Black Crook,74,"First performed 150 years ago, 'The Black Crook' is widely considered the first piece of musical theater. It returns to the stage with new text and songs, performed by an ensemble of eight actor/musician/dancers."
Slumber,74,"Just in time for Halloween, the Hideaway Circus Troupe debuts this dark and twisted interactive horror show featuring awe-inspiring circus artists. Who lives? Who dies? You decide!"
A Dog Story,74,"Seaglass Theatrical and Waterfront Theatrics present the New York premiere of this heartwarming musical, about a career-driven lawyer who adopts a pup that changes his perspective on life."
Inside the Wild Heart,74,"Group.BR presents a site-specific, fully immersive and participatory theatrical experience that transports audiences directly inside the world of celebrated 20th-century Brazilian author Clarice Lispector’s fiction."
Du Barry Was a Lady,74,"Musicals Tonight! revives Cole Porter's 1939 tuner about a washroom attendant who dreams he is King Louis XV of France. Classic songs include 'Friendship,' 'Well, Did You Evah!,' and 'Katie Went to Haiti.'"
The Battles,74,"Inspired by a historical event, this world premiere musical dramatizes an art competition between rivals Leonardo da Vinci and Michelangelo."
Marry Me A Little,74,"The Gallery Players presents this revue with songs by Stephen Sondheim, about two urban singles struggling through a night of deep yearning and sweet fantasies while never leaving their respective apartments. "
Fossils,74,Bucket Club presents the story of a scientist who confronts the mythical and the monstrous to come to terms with the disappearance of her father. Part of 59E59's annual Brits Off Broadway festival.
Temple of the Souls,74,"Part of the New York Musical Festival: An award-winning contemporary pop musical of secrets, lies, and forbidden love. "
Loveless Texas,74,Boomerang Theater Company presents a new musical inspired by Shakespeare’s 'Love’s Labour’s Lost' set in Texas during the Great Depression.
Folk Wandering,74,"
Pipeline Theatre Company's world premiere musical investigates the making and breaking of the American dream across three bygone generations."
Summer: The Donna Summer Music...,74,"After an extended run in La Jolla, the new musical about the 70s disco queen hits Broadway with a score featuring more than 20 of Summer’s classic hits including “Love to Love You, Baby,” “Bad Girls,” and “Hot Stuff."""
Comfort Women,74,A new revival of the 2015 musical about Korean comfort women who were sold as sex slaves for the Imperial Japanese Army during WWII.
Heist!,74,This world premiere musical comedy about breaking into show business centers around a ragtag team as they attempt the biggest con Broadway has ever seen.
The Book of Merman,74,Two Mormon missionaries ring the doorbell of Ethel Merman in this new musical comedy. A diva-driven journey featuring original songs and show-stopping ballads. 
Be More Chill,74,"The viral musical hit comes to Broadway. An edgy, comic look at coming of age in the digital age, through the lens of sci-fi films of the 50s, horror flicks of the 80s, and teen movies of the 90s."
The Visit,73,Broadway legend Chita Rivera stars in the historical final collaboration between Kander and Ebb and book writer Terrence McNally in this musical adaptation about greed and revenge.
Mrs. Smith's Broadway Cat-tacular,73,Everyone’s favorite cat lady has got her claws out when it comes to describing her extensive showbiz history during this story and song-filled musical comedy.
Wild Women of Planet Wongo,73,"Go on a wild, immersive ride at the return engagement of this retro sci-fi musical about two astronauts who land on an alien planet of sexy warrior women who’ve never seen men!"
Forest Boy,73,"Part of the New York Musical Festival: Based on an incredible true story, this new tuner is a modern-day fairy tale about growing up and using your imagination."
Aging Magician,73,"The New Victory presents an epic opera-theater work for families about Harold, an aging watch maker nearing the end of his unusual life. Best for ages 10 and up."
Kid Victory,73,"The Vineyard Theatre presents the NY premiere of this haunting musical about the reemergence of a missing teenager by Tony-winning composer John Kander ('Cabaret,' 'Chicago') and lyricist/playwright Greg Pierce."
Errol and Fidel,73,
Escape to Margaritaville,73,"This new musical comedy getaway features both original songs and beloved Jimmy Buffett classics, including “Come Monday,” “Volcano,” “Cheeseburger in Paradise,” and many more."
"Shit, I'm in Love With You Again",73,Part of Soho Playhouse's Fringe Encore Series: Join Outstanding Canadian Comedy Award winner Rachelle Elie in her boisterous and bawdy musical romp through the multiple manifestations of love and relationships.
The Girl Who Jumped Off The Ho...,73,"Charting over 30 years of the Golden Age of Hollywood, including stories from the Silent Era, the Great Depression, and World War II, this solo play with music features songs from cinemas greatest stars."
Shakespeare's Will,73,"Tannis Kowalchuk embodies the Bard's wife, Anne Hathaway, in this wry, moving, solo musical tribute."
"Hallelujah, Baby!",73,"The York Theater Company presents a new staging of this 1967 musical, a chronicle of the African-American struggle for equality during the first half of the 20th century."
It Came From Beyond,73,"'Grease' meets 'War of the Worlds' with comic books, aliens, and 1950’s dancing in this family friendly musical comedy. "
The Eleventh Hour,73,"The original and irreverent apocalyptic 
rock musical comedy born in a New Brunswick, NJ basement returns to Town Stages."
Alice By Heart,73,"The Tony and Grammy award-winning creators of ""Spring Awakening,"" Steven Sater and Ducan Sheik, reunite for MCC's new musical inspired by ""Alice’s Adventures in Wonderland."""
The Wrong Box,73,"Set in Victorian England, this new musical dark comedy centers around a ""tontine,"" an investment scheme wherein a group of young men invest in a fund, and the last man living takes all. Part of the 2018 Dream Up Festival…"
Superhero,73,"Before we can save the world, we have to save each other. A new musical from the Tony and Pulitzer Prize-winning composer of ""Next to Normal"" and the Tony Award-winning writer of ""Red."""
I Married an Angel,73,"New York City Ballet principal Sara Mearns stars as the Angel in New York City Center's Encores! presentation of Rodgers and Hart's musical, a light-hearted, love story for the ages that weds balletic grace with…"
First Daughter Suite,72,"The Public Theater presents a historical fantasia by Tony nominee Michael John LaChiusa, following the inner lives and dreams of America's best-known daughters; a follow-up to his 1993 musical 'First Lady Suite.'"
Broadway &amp; The Bard,72,"Amas Musical Theatre presents stage and screen veteran Len Cariou, combining his two great loves – Shakespeare and American Musical Comedy – into one  diverse evening of soliloquy and song."
Urinetown: The Musical,72,"Amas Musical Theatre revives this Tony winning satire of capitalism, social irresponsibility, populism, bureaucracy, corporate mismanagement, municipal politics, and musical theater itself."
Charlie and The Chocolate Fact...,72,Two-time Tony winner Christian Borle stars as magical candy master Willy Wonka in the new Broadway musical adaptation of Roald Dahl's beloved children's book. 
Party People,72,The Public Theater presents the New York premiere of Universes' explosive new work about the complicated legacies of the original Black Panther Party and the Young Lords.
Amelie,72,"Based on the beloved 2001 Oscar-nominated movie, this new musical stars Phillipa Soo ('Hamilton') and is directed by Tony winner Pam MacKinnon ('Who’s Afraid of Virginia Woolf?')."
The Mikado,72,"New York Gilbert & Sullivan Players present a new take on the classic operetta, which incorporates the backstory of its own creation into the plot."
The Golden Apple,72,Encores! presents a staged concert of the 1954 musical comedy that reshapes the myths of 'The Iliad' and 'The Odyssey' into an all-American fable.
 Attack of the Elvis Impersona...,72,"An irreverent new musical comedy featuring an original score, swooning fangirls, an Antichrist, world peace, a social media star, the spirit of Elvis...and, of course, a hero!"
One Thousand Nights and One Day,72,"This kaleidoscopic musical reinvention of 'The Arabian Nights' wraps stories within stories, deconstructing and examining narrative, the Middle East, and identity through a 21st-century lens."
Ms. Estrada,72,"The Flea brings us the Q Brothers' hip-hop remix of Aristophanes’ classic comedy, 'Lysistrata.'"
Lonesome Blues,72,"The world premiere musical 'Lonesome Blues' is the true story of the legendary bluesman Blind Lemon Jefferson: born blind, but ultimately able to express his deepest emotions through music."
The Cher Show,72,"The musical about the Grammy, Oscar, Golden Globe, and Emmy-winning entertainer’s life comes to Chicago for its pre-Broadway run. Featuring many of Cher's hits including 'If I Could Turn Back Time,' and 'I Got You Babe.'"
Birthday Boy,72,"This new musical tells the story a young man who was abandoned as a child, placed in an orphanage, and abused. What can a boy say when all he knows is taken away? Part of the 2018 Planet Connections Festivity."
Great Frontier: A Poorly Resea...,72,"Will Lewis and Clark survive their journey and become American heroes, or will it all just be a waste of time? The creators of this comic musical actually have no idea. It was very poorly researched."
Time It Is: To Music,72,"Featuring an intricate, multivariate score and poetic book, this new musical attempts to challenge the audience to dare to see outside the box of contemporary musical theater—and themselves."
Paramour,71,World-renowned circus company Cirque du Soleil makes its Broadway debut with this brand-new musical extravaganza. 
Southern Comfort,71,The Public Theater presents a new musical based on Kate Davis’ 2001 Sundance Award-winning documentary about transgender friends in rural Georgia.
The Offending Gesture,71,"The Tank presents the world premiere of a humorous and poetic indictment of American foreign policy in Iraq, told through the true story of Hitler and his dog, Blondi."
Evening - 1910,71,"Axis Company presents a new musical about Henry, an immigrant to 1910 New York, who becomes involved with a Bowery theater facing eviction."
I'll Say She Is,71,"Gimme a Thrill Productions presents a revival of the Marx Brothers' debut Broadway revue, about an heiress looking for kicks. "
No Exit,71,"The inaugural production from Fusion Theatre is Jean-Paul Sartre's classic 'No Exit,' about three people coming to terms with eternal damnation. This adaptation is equal parts text and opera."
The Real Actors of NYC,71,"Musicals, Duh! presents a dark, satirical musical about ambition and desperation in the musical theater business. How far do actors have to go to get on Broadway?"
All Aboard!,71,"The Girl Behind the Curtain Productions
 invites you to hop aboard a mystical, musical locomotive where you'll meet three couples facing very different journeys."
The Mad Ones,71,"59E59 and Prospect Theater Company presents this new musical that immerses audiences in the complex inner life of a young woman and asks: when every choice feels like life and death, how do you turn the key?"
Chess,71,"2018 marks the 30th Anniversary for this landmark musical. Here the ancient game becomes a metaphor for romantic rivalries, competitive gamesmanship, super power politics, and international intrigues. "
Gettin’ the Band Back Together...,71,"The Tony Award-winning director of 'Urinetown' returns to Broadway with this new musical comedy, the story of a laid off 40-year-old who finds that the only hope for his future lies in revisiting his rock and roll past."
Bulldozer: The Ballad of Rober...,71,This new rock musical dramatizes master builder Robert Moses’s evolution from a young idealist to a power-insulated enemy of the people. Starring Constantine Maroulis ('Rock of Ages') as Robert Moses.
Dickie in the House,71,"The energetic, two-woman theater company Liv & Mags presents a new comedy, the possibly true, entirely fabricated, probably wrong story of Watergate as told by two girls who don’t know what happened."
Rat Pack Undead,71,"The Rat Pack are back from the dead, literally crooning their hearts out, for this concert event. Listen as Frank, Dean, and Sammy add a spookish spin to their hits, changing up their lyrics to honor their deadly…"
These Paper Bullets!,70,"The Atlantic presents a musical, modish ripoff of William Shakespeare’s 'Much Ado About Nothing' about a rock group from Liverpool that returns to swinging ’60s London after conquering the U.S."
Do I Hear a Waltz?,70,"Encores! revives the sole musical collaboration between Richard Rodgers and Stephen Sondheim, about a lonely American woman who journeys to Italy. "
Icon,70,"Part of the New York Musical Festival: This new tuner is about a princess, her lover, and a story that could not be told. Featuring Tony nominees Donna McKechnie ('A Chorus Line') and Tony Sheldon ('Priscilla'). "
Fallen Skies,70,"Part of FringeNYC: Art reflects life and life reflects art. Radical English author D.H. Lawrence struggles with tumultuous relationships and his obstacle-ridden career. Entirely adapted from his actual text, the line is…"
Interview: A New Musical,70,"Double K Film & Theatre and Dimo Kim Musical Theatre Factory present a musical thriller about a psychologist, a criminal defendant, and a legal system that would stop at nothing to gain an alleged killer's confession."
Sweetee,70,Dream Big Theatrical presents this '30s-set musical about an integrated group of musicians touring the Jim Crow South.
The Brobot Johnson Experience,70,"The Bushwick Starr, in collaboration with All For One Theater, presents this Afrofuturism transmedia piece written by and starring award-winning solo performer, actor, and poet, Darian Dauchan."
A Walk With Mr. Heifetz,70,"Based on true events, Primary Stages's world premiere drama tells the story of how music helped Israel find its cultural identity during its formative years."
Broad Comedy,70,"Soho Playhouse presents this raucous all-female comedy troupe, which offers an unflinching and outrageous look at America today."
Bar Mitzvah Boy,70,The bittersweet 1978 musical comedy about a young Jewish Londoner who runs away from his Bar Mitzvah comes to the York Theatre. The New York premiere of a new version first presented in London in 2016.
WYSIWYG The Musical,70,A timely musical about how we disconnect from ourselves and each other as we plug into our electronic devices. Part of the 2018 Planet Connections Festivity.
The Office! A Musical Parody,70,"An interactive new musical based on the popular hit TV series.
"
"Clueless, The Musical",70,"Amy Heckerling takes us back to 90s Beverly Hills with this musical version of her beloved film ""Clueless,"" a modern spin on Jane Austen’s ""Emma​."""
The Cradle Will Rock,70,"CSC presents a new production of Marc Blitzstein’s 1937 play in music, which explores corruption and corporate greed as it tells a tale of worker's efforts to unionize."
Let Us Now Praise Susan Sontag,No Score,"A family of sharecroppers are visited, interviewed, and photographed by two reporters from the “Big City” and also possibly by an ancient Mesopotamian sage."
Men in Towels,No Score,Duo Multicultural Arts Center presents a history-inspired musical about '70s gay liberation and how the rise of AIDS impacted the community.
Death for Five Voices,No Score,Prospect Theater Company presents a musical that celebrates the dark harmonies of Renaissance composer—and murderer!—Carlo Gesualdo.
Himself and Nora,No Score,"A musical about one of the world’s great romances, between Nora the chambermaid, whose passion and acerbic wit ignited the genius of groundbreaking writer James Joyce."
Baby,No Score,Theatre Row and Creative Arts Lab present a revival of Maltby and Shire's Tony-nominated musical about the joys and terrors of impending parenthood. 
Peer Gynt &amp; the Norwegian Hapa...,No Score,Ma-Yi Theater Company presents a rock 'n' roll remake of Ibsen’s classic verse drama about what happens when we sacrifice everything to be most fully ourselves.
Antigone,No Score,"Fusion Theatre's production merges two takes on the Sophocles classic: Jean Anouilh's 1944 political and moral drama, and Arthur Honegger's 1927 opera."
Curvy Widow,No Score,"Based on a true story, this sassy musical follows the exploits of a feisty fifty-something whose adventures inspire laughs and reveal truths about life, love, and sex. Starring Tony Award nominee Nancy Opel."
A Wall Apart,No Score,Part of the New York Musical Festival: An original rock musical about a 30-year love story set against the backdrop of the Berlin Wall. With songs by Graham Russell of Air Supply fame.
Money Talks the Musical,98,"Inspired by the writings of Ben Franklin and the play 'La Ronde,' this world premiere musical comedy is a fast-paced, madcap romp filled with life, liberty, and laughs for all.
"
King Kong,98,"One of the world’s most epic modern myths comes to Broadway in this new musical that employs an innovative mix of robotics, puppet, and stagecraft to bring the legendary ape to life."
Head Over Heels,97,Tony Award winner Micheal Mayer directs this new musical comedy set to the songs of the iconic rock act The Go-Go's in its pre-Broadway run.
Amazing Grace,96,"A musical of romance, rebellion, and redemption, based on the awe-inspiring true story behind the world's most beloved song."
Comfort Women,96,"Set in Seoul during World War II, this Off-Broadway drama follows a young widow looking for work who is kidnapped and made a sex slave, or so-called Comfort Woman, for the Japanese Imperial Army. "
Lazarus,96,"New York Theatre Workshop presents this sci-fi production, with songs by David Bowie and directed by Ivo van Hove, about a human-looking alien who comes to Earth seeking a way to bring water back to his home planet."
Red Hot Mama: A Sophie Tucker ...,96,Soho Playhouse presents Melanie Gall in a one-woman bio-show about vaudeville legend Sophie Tucker.
T.B. Sheets,95,The Tank and Buran Theatre present a dance-theater piece about a community of terminally ill mystics who build a spaceship to escape their physical ailments.
Rocktopia,95,This musical extravaganza celebrates the fusion of the best rock songs of the past century with some of the greatest classical music ever written. Now on Broadway through April 29 only.
My Parsifal Conductor,95,"In the Directors Company's new comedy, musical genius Richard Wagner and wife Cosima find themselves in a dilemma when King Ludwig insists that the son of a rabbi, Hermann Levi, conduct the premiere of ""Parsifal."""
Trip of Love,94,"The producer of Blue Man Group presents a new jukebox musical featuring hit songs of the 60s, chronicling a young girl's journey through America's most tumultuous decade."
